loteria,texto_destaque,subtitulo,cor_fundo,cor_borda,cor_texto,valor,unidade,status,data_sorteio,link
Lotofacil,HOJE 22/12,1.8 Milhoes,#930089,#00E38C,#FFFFFF,1.8,Milhoes,Proximo Sorteio,22/12,/lotofacil
Lotomania,ACUMULADA 22/12, 5.5 Milhoes,#FF8C00,#FF8C00,#FFFFFF,5.5, Milhoes,Proximo Sorteio,22/12,/lotomania
Quina,ACUMULADA 22/12,7.5 Milhoes,#008B8B,#00E38C,#FFFFFF,7.5, Milhoes,Proximo Sorteio,22/12,/quina
Super Sete,ACUMULADA 22/12,800 Mil,#32CD32,#32CD32,#FFFFFF,800, Mil,Proximo Sorteio,23/12,/super-sete
Mega-Sena,ACUMULADA 31/12,1 Bilhao,#9ACD32,#00E38C,#FFFFFF,1,Bilhao,Proximo Sorteio,31/12,/megasena
Mega Sena da Virada,31/12,1 Bilhao,#930089,#00E38C,#FFFFFF,1,Bilhao,Proximo Sorteio,31/12,/megasena virada
Dupla Sena,ACUMULADA 22/12,3.7 Milhoes,#FF6B6B,#FF6B6B,#FFFFFF,3.7 Milhoes,Proximo Sorteio,23/12,/dupla-sena
Loteria Federal,Quartas e Sabados,500 Mil,#4169E1,#4169E1,#FFFFFF,500,Mil,Proximo Sorteio,27/12,/loteria-federal
Loteca,FNAL SEMANA,2 Milhoes,#FF69B4,#FF69B4,#FFFFFF,2,Milhoes,Final de Semana,27-28/12,/loteca
Timemania,ACUMULADA 23/12,72 Milhoes,#FFD700,#FFD700,#FFFFFF,72,Milhoes,Proximo Sorteio,23/12,/timemania
Dia de Sorte,ACUMULADA 23/12,2.5 Milhoes,#DAA520,#DAA520,#FFFFFF,2.5 Milhoes,Proximo Sorteio,23/12,/dia-de-sorte
Milionaria,ACUMULADA 24/12,14.0 Milhoes,#3B82F6,#00E38C,#FFFFFF,14.0,Milhoes,Proximo Sorteio,24/12,/milionaria
